article_id,state,year
https://www.nydailynews.com/news/crime/ny-vancouver-hate-crime-brute-attacks-shouts-at-elderly-asian-man-20200424-wyr66kgierf55obk5cx6yeusci-story.html,,2020
https://www.nydailynews.com/sports/bondy-10-places-racism-major-issue-sport-article-1.1778178,,
https://www.nytimes.com/2016/10/10/nyregion/to-the-woman-who-told-my-family-to-go-back-to-china.html,NY,2016
https://www.nytimes.com/2020/02/16/us/coronavirus-american-mood.html,,2020
https://www.nytimes.com/2020/03/20/learning/film-club-coronavirus-racism-infected-my-high-school.html,FL,2020
https://www.nytimes.com/interactive/2016/10/17/us/asian-american-confronting-racism.html,NY,2016
https://www.pbs.org/newshour/arts/this-chinese-american-cartoonist-forces-us-to-face-racist-stereotypes,,2016
https://www.prnewswire.com/news-releases/cathay-bank-stands-against-anti-asian-hate-crimes-and-discrimination-301251322.html,FL,2021
https://www.refinery29.com/en-us/2020/03/9600268/asian-hate-crime-coronavirus-increase-new-york-hotline,NY,2020
https://www.sfchronicle.com/politics/article/Bay-Area-online-political-events-Rep-Eric-15219894.php,NY,2020
https://www.straitstimes.com/asia/se-asia/indonesias-religious-minister-sparks-debate-over-veil-and-trousers-worn-by-muslims,,2019
https://www.texastribune.org/2021/03/19/asian-texans-racism-atlanta/,GA,2021
https://www.thecity.nyc/2021/2/11/22279407/anti-asian-hate-crime-surge-fuels-demands-for-systemic-and-sensitive-responses,NY,2021
https://www.thecollegefix.com/department-of-education-rejects-asian-american-admissions-discrimination-complaint-against-harvard/,MA,2015
https://www.theguardian.com/world/2020/mar/24/coronavirus-us-asian-americans-racism,CA,2020
https://www.trtworld.com/europe/british-muslims-nervous-amid-attack-threats-16422,,2018
https://www.ucanews.com/news/covid-19-spurs-online-sex-abuse-against-indonesian-women/90464,,2020
https://www.usatoday.com/story/news/nation-now/2017/05/19/yale-dean-leave-yelp-comments-calling-people-white-trash-low-class/332046001/,CT,2017
https://www.vibe.com/news/entertainment/racist-white-woman-subway-assault-charges-626299/,NY,2018
https://www.voanews.com/student-union/racist-attacks-syracuse-university-spark-controversy-fear,NY,2019
https://www.vogue.com/article/janet-jackson-bts-speech-mnet-asian-music-awards,,2018
https://www.wbtv.com/story/35106397/man-charged-in-indian-store-arson-hate-crime,NC,2017
https://www.wsj.com/articles/BL-SEB-77029,NY,2013
https://www.wwlp.com/news/man-arrested-in-attack-of-76-year-old-asian-woman-who-fought-back-beat-assailant-with-stick/,CA,2021
https://wgntv.com/news/coronavirus/asian-americans-reporting-racism-harassment-amid-covid-19-pandemic/,IL,2020
https://www.wsmv.com/news/vanderbilt-surgeon-receives-death-threats-over-social-media-post/article_fdb1d7b5-a2db-54f5-85a2-44605981a131.html,TN,2016
https://www.yourlocalguardian.co.uk/news/10486206.man-guilty-of-displaying-asians-only-sign-outside-his-sutton-home/,,2013
https://www.nbcbayarea.com/news/local/man-accused-of-attacking-2-asian-seniors-in-san-francisco-denied-bail/2498050/,CA,2021
https://www.nbcnews.com/news/asian-america/man-arrested-after-two-asians-assaulted-downtown-san-francisco-n1261555,CA,2021
https://www.cnn.com/2018/12/14/us/nyc-subway-tirade-arrest/index.html,NY,2018
